expression, support, number_variables, variables, complexity, diversity, comments
x**3 + x**2 + x, -5 5, 1, x, 8, 1.9328065726143309, Nguyen-0
x**4 + x**3 + x**2 + x, -5 5, 1, x, 11, 2.171115529932704, Nguyen-1
x**5 + x**4 + x**3 + x**2 + x, -5 5, 1, x, 14, 2.3429502948852057, Nguyen-2
x**6 + x**5 + x**3 + x**2 + x, -5 5, 1, x, 14, 2.3429502948852057, Nguyen-3
sin(x**2)*cos(x) - 1, -5 5, 1, x, 9, 2.1458417525947544, Nguyen-4
sin(x) + sin(x**2 + x), -5 5, 1, x, 9, 2.0488828279013442, Nguyen-5
log(x + 1) + log(x**2 + 1), -0.99 5, 1, x, 11, 2.3383717048035724, Nguyen-6
sqrt(x), -5 5, 1, x, 3, 1.0986122886681096, Nguyen-7
sin(x) + sin(y**2), -5 5 -5 5, 2, x  y, 7, 1.945910149055313, Nguyen-8
2*sin(x)*cos(y), -5 5 -5 5, 2, x  y, 6, 1.7917594692280547, Nguyen-9
x**y, -5 5 -5 5, 2, x  y, 3, 1.0986122886681096, Nguyen-10
x**4 - x**3 + y**2/2 - y, -5 5 -5 5, 2, x  y, 17, 2.7738522086804824, Nguyen-11
