expression, support, number_variables, variables, complexity, diversity, comments
-x*y/(0.5*x**2 + 1) - x + 20, -5 5 -5 5 , 2, x y, 27, 3.1885994659157797, bacterial respiration
-x*y/(0.5*x**2 + 1) + 10, -5 5 -5 5 , 2, x y, 21, 2.944832507989743, bacterial respiration
-sin(theta) - 0.5*sin(phi - theta), -5 5 -5 5 , 2, theta phi, 13, 2.5070264355574188, bar magnets
-sin(phi) + 0.5*sin(phi - theta), -5 5 -5 5 , 2, theta phi, 13, 2.5070264355574183, bar magnets
0.05*v**2 - sin(theta), -5 5 -5 5 , 2, v theta, 10, 2.3025850929940455, glider
v - cos(theta)/v, -5 5 -5 5 , 2, v theta, 9, 2.1383972463477243, glider
-x**2 - 2*x*y + 3*x, -5 5 -5 5 , 2, x y, 10, 2.253857589601352, Lotka-Volterra
-x*y - y**2 + 2*y, -5 5 -5 5 , 2, x y, 10, 2.242973226438147, Lotka-Volterra
x*(-x - y/(x + 1) + 4), -5 5 -5 5 , 2, x y, 17, 2.6839630344997683, predator prey
y*(x/(x + 1) - 0.075*y), -5 5 -5 5 , 2, x y, 15, 2.621567356199428, predator prey
cos(theta)/(-atan(phi) + pi/2), -5 5 -5 5 , 2, theta phi, 14, 2.599301927099795, shear flow
(0.1*sin(phi)**2 + cos(phi)**2)*sin(theta), -5 5 -5 5 , 2, theta phi, 11, 2.3978952727983707, shear flow
-10*x**3/3 + 10*x/3 + 10*y, -5 5 -5 5 , 2, x y, 12, 2.4410152780267027, van der Pol
-x/10, -5 5 -5 5 , 2, x y, 3, 1.0986122886681096, van der Pol
